Tournament_Members,Player1,Player2,Player3,Avg_Norm_Score,Avg_Norm_Cooperation_Rate,Avg_Good_Partner_Rate,Avg_Eigenmoses_Rate,Avg_Eigenjesus_Rate,Avg_Norm_CC_Distribution
"Alternator,Alternator,Alternator",Alternator,Alternator,Alternator,2.0,0.521164021164021,1.0,0.33335316574936474,0.5766139015264908,0.5
"Alternator,Alternator,Anti Tit For Tat",Alternator,Alternator,Anti Tit For Tat,2.0,0.521164021164021,1.0,0.33335316574936474,0.5766139015264908,0.5
"Alternator,Alternator,Bitter Cooperator",Alternator,Alternator,Bitter Cooperator,2.3680555555555554,0.5998677248677249,0.6666666666666666,0.3334316625883896,0.5671634386907594,0.23611111111111113
"Alternator,Alternator,Bitter Cooperator Def",Alternator,Alternator,Bitter Cooperator Def,2.3333333333333335,0.5711640211640211,1.0,0.3334513359907925,0.5730664918501766,0.16666666666666666
"Alternator,Alternator,Bully",Alternator,Alternator,Bully,1.9652777777777777,0.49801587301587297,0.6666666666666666,0.06662034072801648,0.573648462438657,0.4305555555555556
"Alternator,Alternator,Cooperator",Alternator,Alternator,Cooperator,2.5,0.6878306878306878,0.6666666666666666,0.3334621862802203,0.5485277413889232,0.5
"Alternator,Alternator,Cooperator Def",Alternator,Alternator,Cooperator Def,2.465277777777778,0.6591269841269841,0.6666666666666666,0.33342988657878697,0.5554037668976118,0.4305555555555556
"Alternator,Alternator,Coop When Both Defect",Alternator,Alternator,Coop When Both Defect,1.9652777777777777,0.49801587301587297,0.6666666666666666,0.06662034072801648,0.573648462438657,0.4305555555555556
"Alternator,Alternator,Coop When Both Defect 1",Alternator,Alternator,Coop When Both Defect 1,2.0,0.521164021164021,1.0,0.33335316574936474,0.5766139015264908,0.5
"Alternator,Alternator,Curious Defector",Alternator,Alternator,Curious Defector,1.8680555555555554,0.38320105820105815,0.6666666666666666,0.3333333333333333,0.5095491651847971,0.23611111111111113
"Alternator,Alternator,Cycler DC",Alternator,Alternator,Cycler DC,2.3333333333333335,0.521164021164021,1.0,0.33335316574936474,0.5766139015264908,0.16666666666666666
"Alternator,Alternator,Defector",Alternator,Alternator,Defector,1.8333333333333333,0.3544973544973545,0.6666666666666666,0.3333333333333333,0.4702190472722596,0.16666666666666666
"Alternator,Alternator,Fourteen Coop",Alternator,Alternator,Fourteen Coop,2.5,0.6878306878306878,0.6666666666666666,0.3334621862802203,0.5485277413889232,0.5
"Alternator,Alternator,Fourteen Defect",Alternator,Alternator,Fourteen Defect,2.465277777777778,0.5535714285714285,0.6666666666666666,-0.3333333333333333,0.5764797133140702,0.4305555555555556
"Alternator,Alternator,Seven Coop",Alternator,Alternator,Seven Coop,2.0,0.521164021164021,1.0,0.33335316574936474,0.5766139015264908,0.5
